accident_year,number_of_casualties,fatality
1979,334513,2.2842171732028067
1980,268834,2.198735582259544
1981,244117,2.181610386281222
1982,254354,2.0951651996428113
1983,190471,2.2672119511947817
1984,239658,1.9827984146102053
1985,184125,2.146170043250626
1986,174953,2.2313458134016346
1987,162196,2.202333804231551
1988,166488,2.1755283026405148
1989,164068,2.1070035266042795
1990,170873,2.086567328831349
1991,164763,2.017555351762086
1992,168182,1.8645326959414719
1993,176127,1.6827966995471184
1994,192819,1.6070432406917368
1995,199387,1.7145511522782109
1996,204165,1.61806079736499
1997,204153,1.5805835682725249
1998,206223,1.519186334099025
1999,205070,1.5190871877167453
2000,206006,1.4475287745429926
2001,204415,1.5486907833342483
2002,192090,1.5381816858878743
2003,185304,1.6828546980319155
2004,183142,1.5114863951199724
2005,206625,1.3762194558487677
2006,176904,1.6584582946517081
2007,175185,1.6011140921643758
2008,165128,1.573464455371281
2009,148762,1.3708729166277833
2010,145020,1.2300639862477318
2011,139935,1.2644910079546907
2012,130505,1.2122617642098161
2013,122189,1.3238628784847273
2014,130242,1.2655449890270665
2015,125020,1.3006519585968197
2016,147161,1.3375539778965087
2017,163040,1.2643427917140393
2018,152551,1.340876119185173
2019,148377,1.3825127498398042
2020,114132,1.519793956348942
